年月日,up_down,Open,High,Low,Close,Volume,Turnover rate,Market capitalization,ln_past_return,PE ratio,Dividend yield,ROA,ROE,EBT Margin,Net profit margin growth rate,Current ratio,Quick ratio,D/E ratio,Share capital,Retained earnings,TW_Index,SP_500,Semi,NASDAQ,XLK,QQQ,Fed_interest_rate,TW_unemployment_rate,TW_gdp,TW_economic_index,Rediscount_Rate,Secured_Loan_Rate,1M_Deposit_Rate,1Y_Deposit_Rate,Base_Loan_Rate,Overnight_Weighted_Rate,Commercial_Paper_Rate,10Y_Gov_Bond_Rate,Overall_Index,Food,Clothing,Housing,Transport_Communication,Healthcare,Education_Recreation,Miscellaneous
2019-11-27 00:00:00,0,15.35,15.4,15.1,15.2,41376,0.3529,178210,0,48.0646,3.8809,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11647.45996,3140.52002,1723.26001,8647.929688,87.93000031,204.6100006,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-28 00:00:00,0,15.25,15.3,15.05,15.1,34136,0.2912,177037,-0.6601,47.7484,3.9066,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11617.08008,3153.629883,1735.910034,8705.179688,88.41999817,206.0399933,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-29 00:00:00,0,15.1,15.15,14.85,14.95,45681,0.3896,175279,-0.9983,47.274,3.9458,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11489.57031,3153.629883,1735.910034,8705.179688,88.41999817,206.0399933,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-02 00:00:00,1,15,15.3,15,15.1,63994,0.5458,177037,0.9983,43.6068,3.9066,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11502.83008,3153.629883,1735.910034,8705.179688,88.41999817,206.0399933,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-03 00:00:00,1,15.05,15.35,15.05,15.35,51943,0.443,179968,1.6421,44.3288,3.843,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11531.58008,3113.870117,1691.75,8567.990234,86.90000153,203,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-04 00:00:00,1,15.4,15.95,15.4,15.85,190321,1.6233,185830,3.2054,45.7727,3.7217,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11510.46973,3093.199951,1665.709961,8520.639648,86.12999725,201.4100037,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-05 00:00:00,1,16.05,16.7,16.05,16.55,228294,1.9472,194037,4.3217,47.7942,3.5643,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11594.65039,3112.76001,1691.449951,8566.669922,86.48000336,202.4299927,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-06 00:00:00,0,16.5,16.5,16.1,16.2,109731,0.9359,189934,-2.1375,46.7834,3.6413,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11609.63965,3117.429932,1697.660034,8570.700195,86.80000305,202.8300018,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-09 00:00:00,1,16.4,16.55,16.25,16.25,68335,0.5828,190520,0.3082,46.9278,3.6301,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11660.76953,3117.429932,1697.660034,8570.700195,86.80000305,202.8300018,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-10 00:00:00,1,16.35,16.5,16.25,16.45,58803,0.5015,192865,1.2233,47.5054,3.586,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11627.83984,3135.959961,1714.97998,8621.830078,87.30000305,204.0700073,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
